"task_id","model","estimate_range_1","estimate_range_2"
1,"gamma_noise",0.0690611229739098,0.021307632970224
2,"gamma_noise",0.18552801214184,0.038342385349651
3,"gamma_noise",0.56030743218785,0.064010769464188
4,"gamma_noise",0.21375828184491,0.029357058232008
5,"gamma_noise",0.33198595623149,0.038807647195681
6,"gamma_noise",0.19465540551373,0.032708739587522
7,"gamma_noise",0.44268226823123,0.028904520790414
8,"gamma_noise",0.587233925448739,0.033254655194781
9,"gamma_noise",0.31026185381258,0.020849299244473
10,"gamma_noise",0.48265547802555,0.03997749809626
11,"gamma_noise",0.250244557499751,0.02226894854201
12,"gamma_noise",0.46857386025566,0.056119617710663
13,"gamma_noise",0.335624386220481,0.030520647787075
14,"gamma_noise",0.78402118565198,0.067035168843564
15,"gamma_noise",0.35900191129549,0.036443897133685
16,"gamma_noise",0.27484025722942,0.029437523860668
17,"gamma_noise",0.34304799728616,0.097657751390279
18,"gamma_noise",0.12787827799133,0.01160269699001
19,"gamma_noise",0.302603400223879,0.031953212251941
20,"gamma_noise",0.7526547228704,0.095232657855651
21,"gamma_noise",0.267925550256741,0.019858148613602
22,"gamma_noise",0.13686913569557,0.024606718576952
23,"gamma_noise",0.27553118937152,0.054840175309162
24,"gamma_noise",0.15346610378966,0.027273943576156
25,"gamma_noise",0.70377861688441,0.061050562317297
26,"gamma_noise",0.25119752640466,0.024106948862637
27,"gamma_noise",0.22788676018389,0.026229580226601
28,"gamma_noise",0.41769220937018,0.023059815263063
29,"gamma_noise",0.29868699616911,0.014579797486817
30,"gamma_noise",0.500640317244621,0.04787483910324
31,"gamma_noise",0.37296743713945,0.0489492699662321
32,"gamma_noise",0.51794220173291,0.023939794451142
33,"gamma_noise",0.22213865764285,0.01747214565553
34,"gamma_noise",0.196501109495729,0.024452597172595
35,"gamma_noise",0.50920229176411,0.031936608711712
36,"gamma_noise",0.25482001266358,0.020054897625838
37,"gamma_noise",0.43884089319126,0.042757959850308
38,"gamma_noise",0.24519363344284,0.033067916830333
39,"gamma_noise",0.5425542100017,0.04146315710078
40,"gamma_noise",0.306745522715571,0.021202919735296
41,"gamma_noise",0.29270284948294,0.037435386441403
42,"gamma_noise",0.61060282865437,0.063347875238983
43,"gamma_noise",0.79115033454018,0.031224410099845
44,"gamma_noise",0.36476439920772,0.03677428184838
45,"gamma_noise",0.41273789149299,0.041177816623923
46,"gamma_noise",0.22029743914823,0.02926109410138
47,"gamma_noise",0.2254451104142,0.017211880258664
48,"gamma_noise",0.20812922524394,0.020164133129359
49,"gamma_noise",0.25465574752312,0.037932719853728
50,"gamma_noise",0.17525967103399,0.021053480658291
51,"gamma_noise",0.30051128747043,0.014899572102937
52,"gamma_noise",0.32786841987362,0.032801660390105
53,"gamma_noise",0.4279832448959,0.028929194688947
54,"gamma_noise",0.66467702960564,0.053826248580064
55,"gamma_noise",0.35259245411169,0.018001383951448
56,"gamma_noise",0.226652391216881,0.019456995218317
57,"gamma_noise",0.20474286487587,0.133366251683898
58,"gamma_noise",0.36329370856542,0.040275615050326
59,"gamma_noise",0.21082218198639,0.033011716242914
60,"gamma_noise",0.36703356921669,0.03661253183327
61,"gamma_noise",0.20710450688123,0.037850493891267
62,"gamma_noise",0.330737716575781,0.039960677874136
63,"gamma_noise",0.414455036883131,0.034748665937812
64,"gamma_noise",0.41369674320048,0.046495727958059
65,"gamma_noise",0.451565689433969,0.049412489275912
66,"gamma_noise",0.40649173229584,0.038046226978011
67,"gamma_noise",0.17617274267042,0.022854274265168
68,"gamma_noise",0.35437662780278,0.028920311876211
69,"gamma_noise",0.61657845628638,0.107053041244106
70,"gamma_noise",0.23177645196667,0.046836418203528
71,"gamma_noise",0.28098635407292,0.058498427463126
72,"gamma_noise",0.25425248473821,0.027959731177643
73,"gamma_noise",0.221045859379729,0.026178566455143
74,"gamma_noise",0.30892317021963,0.029411217116656
75,"gamma_noise",0.27254660769632,0.030682452302454
76,"gamma_noise",0.33522767167481,0.047729398038593
77,"gamma_noise",0.267100241913391,0.04715538244051
78,"gamma_noise",0.21556538185929,0.059791536125741
79,"gamma_noise",0.51911411542242,0.033468311366191
80,"gamma_noise",0.24065005058985,0.034817788184152
81,"gamma_noise",0.21755981974039,0.021963252253689
82,"gamma_noise",0.30909450364552,0.058367888293973
83,"gamma_noise",0.64126499136919,0.064166579792147
84,"gamma_noise",0.22838017472614,0.019356928021886
85,"gamma_noise",0.43299532593466,0.036941155806515
86,"gamma_noise",0.44970624413101,0.065827530028738
87,"gamma_noise",0.30334631202476,0.02680182349441
88,"gamma_noise",0.27767100080696,0.050751978465443
89,"gamma_noise",0.26857905206961,0.052829108546965
90,"gamma_noise",0.26300172680642,0.023565431095472
91,"gamma_noise",0.36929096343756,0.030061431348132
92,"gamma_noise",0.4771507539135,0.047808300854081
93,"gamma_noise",0.29024130121113,0.02456194192917
94,"gamma_noise",0.63936438928174,0.077760123365841
95,"gamma_noise",0.1798833765877,0.029531724677597
96,"gamma_noise",0.21636169031229,0.044970426197415
97,"gamma_noise",0.34180387105194,0.043056436153131
98,"gamma_noise",0.23424596480837,0.02658314157205
99,"gamma_noise",0.32096107294746,0.039974306068299
100,"gamma_noise",0.26414364112166,0.020174150855794
101,"gamma_noise",0.27834090696342,0.041020034896059
102,"gamma_noise",0.19477185163221,0.045514987158846
103,"gamma_noise",0.305562462937081,0.040222605875656
104,"gamma_noise",0.37317609497396,0.022014874892518
105,"gamma_noise",0.6434207341615,0.063714771725725
106,"gamma_noise",0.42046769211798,0.036070731689166
107,"gamma_noise",0.34445146300144,0.016131464585704
108,"gamma_noise",0.630284039825661,0.039582831343797
109,"gamma_noise",0.17730085510416,0.04324329030377
110,"gamma_noise",0.23361061422773,0.037892640549419
111,"gamma_noise",0.368958639870909,0.05605042457786
112,"gamma_noise",0.43183052625161,0.035091323189084
113,"gamma_noise",0.355232978652889,0.027678971628719
114,"gamma_noise",0.31883691932021,0.022072662351403
115,"gamma_noise",0.41348991337283,0.041223952395436
116,"gamma_noise",0.15658053478395,0.011216868412726
117,"gamma_noise",0.50020383298242,0.059144278122394
118,"gamma_noise",0.24672630286383,0.054734699854178
119,"gamma_noise",0.19153799125757,0.029583741488225
120,"gamma_noise",0.23590005160406,0.042961931264032
121,"gamma_noise",0.1751027902417,0.015262783677847
122,"gamma_noise",0.3657165387146,0.026503155268179
123,"gamma_noise",0.48315982031142,0.062749527464019
124,"gamma_noise",0.30804124480577,0.030772982504554
125,"gamma_noise",0.2318951797759,0.024675447339682
126,"gamma_noise",0.32278996861256,0.047501026762992
127,"gamma_noise",0.34797332306198,0.0626886827511
128,"gamma_noise",0.34134609743758,0.037564155702976
129,"gamma_noise",0.421617897356691,0.036958115475763
130,"gamma_noise",0.18682310614895,0.049288962650762
131,"gamma_noise",0.23584029794236,0.033002128567391
132,"gamma_noise",0.40730937573137,0.039684076720234
133,"gamma_noise",0.36834585361886,0.036981890915701
134,"gamma_noise",0.29591966909405,0.021918390258095
135,"gamma_noise",0.41201236955607,0.05930683573681
136,"gamma_noise",0.69673110080649,0.060597629813993
137,"gamma_noise",0.3131895560345,0.035848083768941
138,"gamma_noise",0.35361544360094,0.030362355363125
139,"gamma_noise",0.62972011675462,0.0489413487442
140,"gamma_noise",0.26169855593896,0.039593152863983
141,"gamma_noise",0.24885573600028,0.023234165833872
142,"gamma_noise",0.24867480622262,0.016757463201669
143,"gamma_noise",0.25023470849096,0.016847941555955
144,"gamma_noise",0.21906564221397,0.026086166962096
145,"gamma_noise",0.44689846279408,0.047735297606725
146,"gamma_noise",0.36666534179298,0.056024868132807
147,"gamma_noise",0.32293344704463,0.036138936470987
148,"gamma_noise",0.28315979628694,0.02202612491999
149,"gamma_noise",0.19218141759468,0.044678243871804
150,"gamma_noise",0.25136263623593,0.012040543696673
151,"gamma_noise",0.28977156511632,0.033079122695356
152,"gamma_noise",0.14899144645881,0.022732541626749
153,"gamma_noise",0.2846344336053,0.037351861396785
154,"gamma_noise",0.157820366980641,0.011676239950206
155,"gamma_noise",0.56439070922281,0.037793753603654
156,"gamma_noise",0.35639355059668,0.058030272108234
157,"gamma_noise",0.6424415679225,0.047552243914222
158,"gamma_noise",0.3433710955789,0.038845875667169
159,"gamma_noise",0.18932776954963,0.037726633766208
160,"gamma_noise",0.14204560116221,0.026518565420311
161,"gamma_noise",0.15840401900972,0.028313813137599
162,"gamma_noise",0.25844799805722,0.023290371593915
163,"gamma_noise",0.24734896175258,0.039180803328184
164,"gamma_noise",0.40194785622289,0.043029585260667
165,"gamma_noise",0.20130861938659,0.040808823235925
166,"gamma_noise",0.52654867882605,0.053080870249012
167,"gamma_noise",0.22680252863633,0.032214811699667
168,"gamma_noise",0.22074252048591,0.017008138840141
169,"gamma_noise",0.273083107835711,0.024644144801801
170,"gamma_noise",0.47781412003652,0.071178369151658
171,"gamma_noise",0.48633158114381,0.061248349377162
172,"gamma_noise",0.47252415298875,0.048699353793448
173,"gamma_noise",0.2948742409378,0.079099579427967
174,"gamma_noise",0.23364066622738,0.020419121576868
175,"gamma_noise",0.218551286427489,0.014474728209143
176,"gamma_noise",0.37555101386481,0.054963035290163
177,"gamma_noise",0.362568339198099,0.038339274316718
178,"gamma_noise",0.3771103872962,0.036045134373321
179,"gamma_noise",0.20402259592358,0.030216004872845
180,"gamma_noise",0.38161507024143,0.046991922725862
181,"gamma_noise",0.24215808912986,0.017557546794783
182,"gamma_noise",0.84454159346962,0.12926480505371
183,"gamma_noise",0.74967942836481,0.055117725447401
184,"gamma_noise",0.43935720318048,0.089425995943702
185,"gamma_noise",0.41570049220669,0.093596826373347
186,"gamma_noise",0.50438658461176,0.046788801197533
187,"gamma_noise",0.20253033002872,0.012753861035917
188,"gamma_noise",0.1610377531775,0.039774869637589
189,"gamma_noise",0.39673594982708,0.031850757717664
190,"gamma_noise",0.73263872688829,0.093396334864738
191,"gamma_noise",0.35886423370044,0.066522599247778
192,"gamma_noise",0.24215828474258,0.035032899725698
193,"gamma_noise",0.24417037338714,0.029591697854556
194,"gamma_noise",0.32233501373799,0.039716315260482
195,"gamma_noise",0.27679921243117,0.019828569681425
196,"gamma_noise",0.23938401778782,0.062355408413683
197,"gamma_noise",0.24242227340591,0.059599164834428
198,"gamma_noise",0.22822286899999,0.011757908217615
199,"gamma_noise",0.29424943594874,0.033771382806851
200,"gamma_noise",0.80634025958091,0.085422075151461
1,"constant_B",0.21245610279873,NA
2,"constant_B",0.3197926154019,NA
3,"constant_B",0.12946368842093,NA
4,"constant_B",0.0517054034836897,NA
5,"constant_B",0.14348878854357,NA
6,"constant_B",0.11700352558375,NA
7,"constant_B",0.33155621900369,NA
8,"constant_B",0.10743350615148,NA
9,"constant_B",0.20108704107446,NA
10,"constant_B",0.0462584634335603,NA
11,"constant_B",0.12445440902414,NA
12,"constant_B",0.20470201015244,NA
13,"constant_B",0.22561271046554,NA
14,"constant_B",0.0881494666414904,NA
15,"constant_B",0.21310357319818,NA
16,"constant_B",0.10540870531878,NA
17,"constant_B",0.0693192342083098,NA
18,"constant_B",0.06387510808023,NA
19,"constant_B",0.16989145198682,NA
20,"constant_B",0.11268811878732,NA
21,"constant_B",0.10343200520795,NA
