"experiment","task_id","week","B_true","B_gamma_filtered_mean","B_constant"
4,1,0.142857142857143,4,4.34918065262747,4.04534940404491
4,1,0.285714285714286,4,4.30604029769196,4.04534940404491
4,1,0.428571428571429,4,4.33584551071011,4.04534940404491
4,1,0.571428571428571,4,4.26794014035264,4.04534940404491
4,1,0.714285714285714,4,4.49173537384216,4.04534940404491
4,1,0.857142857142857,4,4.23197105682964,4.04534940404491
4,1,1,4,4.25723064249766,4.04534940404491
4,1,1.14285714285714,4,4.26662469795029,4.04534940404491
4,1,1.28571428571429,4,4.21114869885164,4.04534940404491
4,1,1.42857142857143,4,4.53614157343571,4.04534940404491
4,1,1.57142857142857,4,4.22987714973379,4.04534940404491
4,1,1.71428571428571,4,4.52622082700182,4.04534940404491
4,1,1.85714285714286,4,4.92656016954702,4.04534940404491
4,1,2,4,4.73794084591575,4.04534940404491
4,1,2.14285714285714,4,4.63865938007474,4.04534940404491
4,1,2.28571428571429,4,4.28546849163939,4.04534940404491
4,1,2.42857142857143,4,4.00763049895396,4.04534940404491
4,1,2.57142857142857,4,3.58074120457045,4.04534940404491
4,1,2.71428571428571,4,3.6944570852682,4.04534940404491
4,1,2.85714285714286,4,3.85284398521741,4.04534940404491
4,1,3,4,3.91308591548269,4.04534940404491
4,1,3.14285714285714,4,4.14875097674284,4.04534940404491
4,1,3.28571428571429,4,4.12667497632939,4.04534940404491
4,1,3.42857142857143,4,4.3017925770521,4.04534940404491
4,1,3.57142857142857,4,4.42964948818836,4.04534940404491
4,1,3.71428571428571,4,4.38874381644489,4.04534940404491
4,1,3.85714285714286,4,4.09658555622242,4.04534940404491
4,1,4,4,3.86206054480823,4.04534940404491
4,1,4.14285714285714,4,4.11650440595431,4.04534940404491
4,1,4.28571428571429,4,4.04530272486247,4.04534940404491
4,1,4.42857142857143,4,3.90904202540506,4.04534940404491
4,1,4.57142857142857,4,3.92077043463269,4.04534940404491
4,1,4.71428571428571,4,4.28317254807028,4.04534940404491
4,1,4.85714285714286,4,3.89452298602157,4.04534940404491
4,1,5,2,3.78226435077804,4.04534940404491
4,1,5.14285714285714,2,3.65857100653313,4.04534940404491
4,1,5.28571428571429,2,3.45986954402259,4.04534940404491
4,1,5.42857142857143,2,3.09902847374519,4.04534940404491
4,1,5.57142857142857,2,2.9397766546533,4.04534940404491
4,1,5.71428571428571,2,2.69006125227939,4.04534940404491
4,1,5.85714285714286,2,2.51100795616588,4.04534940404491
4,1,6,2,2.50523366462709,4.04534940404491
4,1,6.14285714285714,2,2.5589349438019,4.04534940404491
4,1,6.28571428571429,2,2.44495126428295,4.04534940404491
4,1,6.42857142857143,2,2.40126795868938,4.04534940404491
4,1,6.57142857142857,2,2.28949453820794,4.04534940404491
4,1,6.71428571428571,2,2.45001634878978,4.04534940404491
4,1,6.85714285714286,2,2.38419620366084,4.04534940404491
4,1,7,2,2.36098046084309,4.04534940404491
4,1,7.14285714285714,2,2.36713073756765,4.04534940404491
4,1,7.28571428571429,2,2.27029955283266,4.04534940404491
4,1,7.42857142857143,2,2.20693100127087,4.04534940404491
4,1,7.57142857142857,2,2.16326775807348,4.04534940404491
4,1,7.71428571428571,2,2.13286823412383,4.04534940404491
4,1,7.85714285714286,2,2.11352852162208,4.04534940404491
4,1,8,2,2.10046640445371,4.04534940404491
4,1,8.14285714285714,2,2.09090088484586,4.04534940404491
4,1,8.28571428571428,2,2.08504806233262,4.04534940404491
4,1,8.42857142857143,2,2.08104725601894,4.04534940404491
4,1,8.57142857142857,2,2.07958695740181,4.04534940404491
4,1,8.71428571428571,2,2.07843821756715,4.04534940404491
4,1,8.85714285714286,2,2.07763279312137,4.04534940404491
4,1,9,2,2.07551799061053,4.04534940404491
4,1,9.14285714285714,2,2.07575712345599,4.04534940404491
4,1,9.28571428571428,2,2.07565440045343,4.04534940404491
4,1,9.42857142857143,2,2.07488802483243,4.04534940404491
4,1,9.57142857142857,2,2.07452525123715,4.04534940404491
4,1,9.71428571428571,2,2.0728271538014,4.04534940404491
4,1,9.85714285714286,2,2.07235788702182,4.04534940404491
4,1,10,2,2.07282241684942,4.04534940404491
